tweet_id,text,intent,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,intent.1
2908513,@805293 We can take a look! Send us a note via https://t.co/epjfBJjd4q so our team can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
975842,"@351427 Issue: Wrong order.  Action: Awaiting tools info, check for support outreach. Provide refund for missing items if needed.",Refund issue,,,,,,,,,,,,,,,,,,,,,,,,,,Uber Eats issue
380340,@206205 Here to help! Send us a DM with your email address with more info so we can assist.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,Information request
2927347,@120935 Sorry to hear this was your experience! Send us a DM with your email address so we can follow up.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
999269,@356609 Sorry to hear about that! Can you please contact us via https://t.co/593jusCquh so our team can connect.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1081558,@375133 Happy to help! Send us a DM with your email address and our team will follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
548678,"@247691 We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with him directly via in-app support.",Escalation needed,,,,,,,,,,,,,,,,,,,,,,,,,,
912927,@336799 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2669330,@751815 Here to help. Send us a note at https://t.co/xMxswVLBKT so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2520896,@718030 Here to help. Send us a note at https://t.co/FF2YGTGjuA so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2572672,@729631 We've responded via DM!,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2342696,"@673200 Thanks for getting in touch, Rajat. Please DM us with the email you've used to reach out, and we can follow up with you on your support message.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1612072,@494717 We hope everyone is ok. Please DM us your email address so we can follow up immediately.,Escalation needed,,,,,,,,,,,,,,,,,,,,,,,,,,
2229863,@650751 Sorry to hear about the trouble! Send us a DM with your email address with details so we can connect.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
2885975,@800440 We're sorry for the trouble! We're currently reviewing your email and will follow up shortly.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1102668,@366455 Here to help! Send us a note via https://t.co/FF2YGTGjuA so we can assist.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1080786,@374956 Here to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
620292,@267225 Here to help! Send us a note via https://t.co/fS660rQ8NQ so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1807314,"@542962 We're so sorry to hear this, Kirk. We've been in touch via DM - Please see our most-recent message for more information and next steps.",Escalation needed,,,,,,,,,,,,,,,,,,,,,,,,,,
2730455,@765500 We recommend removing personal info from public view. Please connect with us via Direct Message (DM) and we'll follow up from there. Thanks!,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2667449,"@751440 A member of our team has been in touch via email, so please check your inbox and follow up there directly.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2217457,"@647846 Hi there! We're here to help. Send us a note here, https://t.co/fS660rQ8NQ and so our team will assist.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1725167,@168715 Hi there! Check out https://t.co/VYt9zqEmr3 to learn more about scheduling a ride in advance.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
631905,"@269766 Please send us a DM with your Uber partner account email address along with additional details, and we'll be happy to follow up. https://t.co/sd7yH5jmbJ",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2291882,@364462 Let's look further into this! Please reach out to us here: https://t.co/OWBkgXcbMl so we can follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
185286,@159572 Our team is constantly working to improve your experience. Please reach out via https://t.co/Qjn35JrDbz so our team can connect directly.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1109968,@381938 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVorX5rh and we'll be in touch.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
157889,@152281 Here to help! Send us a note via https://t.co/aZ6Ktyb1LN and we'll be in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2226965,@650059 Here to help. Send us a note at https://t.co/lqVgKo4ZO3 so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
900993,"@333878 Hi, please check out the following page to learn more and where you can sign in to get help:  https://t.co/QsI1vsvcif.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1455421,@457807 We're so sorry for the trouble. Send us a note via https://t.co/dInR3racif so we can assist.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
908688,@335825 Sorry to hear this! Please send us a note at https://t.co/o056uE8sfv so we can look into this order for you.,Refund issue,,,,,,,,,,,,,,,,,,,,,,,,,,
2698106,"@662083 We're here to help! Send us a note here, https://t.co/uRjsQ64qLY and our team will be in touch.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
667144,@278983 Here to help! Please visit for more info; https://t.co/xMxswVLBKT,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
496062,"@233322 We're here to help! Send us a DM with your email address and more details of your concern, so we can follow up.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2256065,@116267 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVorX5rh and we'll be in touch.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
255904,"@176871 We're happy to connect, Ankit. Please DM us the email on your account and additional details. We'll be in touch shortly.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
824778,@316430 We've been in touch via DM!,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1693898,@514024 Happy to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
73703,"@132486 Hi, Sapthagiri. We see your support request and our team will be in touch as soon as possible. Thank you so much for your patience.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
317142,@191686 We've followed up via in-app support.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2868764,@796677 Here to help! Follow up here - https://t.co/DceIRNI6kV and our team will connect right away.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
177870,@157901 Happy to take a closer look. Can you send us a DM with your email address so we can follow up?,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
949507,"@333567 Hi, Jitendra. It appears that a member of our team has reached out via in-app support. Be sure to follow up there with any other questions.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2594538,@730705 We're here to help! Send us a DM with your email address and more details of your concern so we can follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
669292,@279607 We're here to help! Send us a DM (direct message) with your email address so we can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
755829,@166241 We're sorry to hear this was your experience! Send us a DM with your email address and we'll follow up.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
2827705,@787591 Here to help. Send us a note at https://t.co/lqVgKo4ZO3 so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1931467,"@573515 Hey, Lauren. Ride passes are available to only a select number of riders each month. Please visit  https://t.co/vMKzBXlRcL for more info.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2502284,"@713726 Hey, Marianne. Please DM us your email and more information on this issue so we can take a deeper look.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
56025,@128714 Here to help clarify! Please reach out here: https://t.co/3h8wdQ4EJK for more info on purchasing ride passes.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1076584,@374030 We can take a look! Send us a note via https://t.co/DceIRNI6kV so our team can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1075511,@373757 Hi there! Please reach out to https://t.co/y5DusN6y4E and fill out the boxes at the bottom so we can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2594530,"@448538 Happy to further assist you! You can use this link instead; https://t.co/zUe0dj6yoX. If you'd like, you can also DM (direct message) us with your email address so we can assist!",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
15265,@119349 We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2488784,"@710738 We apologize for the trouble! Send us a note here, https://t.co/xMxswVLBKT, and our team will be in touch.",General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
486876,@230846 Here to help! Send us a note via https://t.co/nFTc4ODH3P and we'll be in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
165842,@154507 Sorry to hear what happened. You can send us a note here; https://t.co/fS660rQ8NQ and our team will connect to assist you further.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1500816,"@468440 At this moment, we don't offer phone support! Please send us a DM with your email address and more details so we can follow up.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1587469,"@488300 We're sorry to hear about the trouble, Jimmy. Please send us a note via https://t.co/K05RdmK3t4 so our team can get in touch.",General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1675612,@509775 Here to help! Send us a note at https://t.co/kGIXas5Cxg so our team can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
347630,"@198786 Happy to help! Send us a note here, https://t.co/e8HVorX5rh, and our team will follow up.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2549934,@724122 We're here to help! Please send us a note via https://t.co/Md7v036OoC so we can assist further.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
886370,"@330452 We can review this further for you, Bryan. Go ahead &amp; DM us the email linked to your Uber account so we can review. https://t.co/sd7yH5jmbJ",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
394592,"@209490 Completely understand your frustration, Mark. Please DM us your account email so we can follow up. https://t.co/sd7yH5jmbJ",General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1265834,@416411 So sorry about the trouble! Please send us a DM with your email address and phone number so we can connect.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1710200,"@518132 Here to take a closer look! Follow up here; https://t.co/zUe0dj6yoX , and our team will connect right away.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1604530,@122378 We've responded to your DM.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
821177,"@315597 Hey there! At this time, Uber Car Seat isn't available in Geneva. Please bring your own child seat so as to ensure regulatory compliance.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2388100,"@638000 To best address your concern, please visit https://t.co/593jusCquh and 'Sign in to get help' to send us a note. We'll be sure to follow up.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
475191,@228084 Hi there! Please reach out to https://t.co/QDn91HzZV0 and fill out the boxes at the bottom so we can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
533530,@243584 Here to help! Can you please send us a DM with your email address so we can follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2427596,"@697031 We're sorry we couldn't get to everyone, but stay tuned for more fun promotions soon!",General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1672631,"@225815 We can definitely take a closer look! Contact us here; https://t.co/iD5GKbOpNu,  so we can help.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
945630,@344232 We're here to help! Please send us a note via https://t.co/Md7v036OoC so we can assist.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
922761,@339040 Please have them connect with us at the link previously provided and we'll be happy to follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1405542,@446733 We're so sorry about that! Can you please send us a DM with your email address and additional details so we can assist?,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
744373,@297981 We're here to help! Send us with your email address so we can connect.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1018347,@360949 Sorry to hear that! Please send us a note here: https://t.co/QsI1vsvcif we'll be happy to look into this for you.,General complaint,,,,,,,,,,,,,,,,,,,,,,,,,,
1308876,@425877 We've been in touch via DM!,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1602961,"@491970 Hi, Katie. We've followed up via DM.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1602205,"@491809 We can definitely take a closer look! Contact us here; https://t.co/593jusCquh , so we can help.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
110973,@140688 We can take a look! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1850126,"@553894 We can follow up, Vicky. Can you please send a note our way via https://t.co/LECWe2nuKg? From there a member of our team will be in touch.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1054993,"@369278 Happy to help you out, Ebony! Please send us a DM with your email address so we can get this sorted out for you.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
723722,"@293312 Hi, Kez! For a specific concern, please send us a note at https://t.co/balq3Eyso6 and a member of our team will follow up.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1750589,@527548 We're here to help! Send us a DM with your email address and more details so we can follow up.,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
477096,@228382 Hi Rui! Find out more info about Uber Central here: https://t.co/JYxKOAhd1J,Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
2686089,"@755371 We're here to help! Send us a note here, https://t.co/e8HVorX5rh and our team will be in touch.",Information request,,,,,,,,,,,,,,,,,,,,,,,,,,
1027678,@363191 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Escalation needed,,,,,,,,,,,,,,,,,,,,,,,,,,
